baseline.log,postnorm.log,prenorm.log,validation ppl
56.61,41.47,44.1,500
49.93,30.18,31.4,1000
45.33,27.02,26.37,1500
35.25,24.77,23.55,2000
28.44,23.48,21.71,2500
25.79,22.27,20.28,3000
23.77,21.32,18.64,3500
22.4,20.44,16.88,4000
21.26,19.92,15.02,4500
19.87,19.31,13.64,5000
18.8,18.62,12.7,5500
17.61,18.15,12.03,6000
16.55,17.61,11.74,6500
15.42,17.37,11.39,7000
14.26,16.81,10.97,7500
13.3,16.28,10.76,8000
12.62,15.57,10.52,8500
12.25,15.31,10.44,9000
11.83,14.73,10.24,9500
11.48,14.24,10.22,10000
11.19,13.56,9.95,10500
10.82,12.96,9.83,11000
10.69,12.53,9.65,11500
10.58,12.05,9.61,12000
10.41,11.98,9.48,12500
10.24,11.63,9.44,13000
10.05,11.24,9.4,13500
9.97,11.03,9.28,14000
9.84,10.81,9.19,14500
9.75,10.66,9.07,15000
9.6,10.62,9.06,15500
9.41,10.29,8.86,16000
9.42,10.28,8.99,16500
9.41,10.29,8.88,17000
9.3,10.09,8.87,17500
9.22,10.05,8.79,18000
9.25,10.17,8.82,18500
9.12,9.94,8.63,19000
8.97,9.64,8.58,19500
8.92,9.5,8.54,20000
8.92,9.53,8.59,20500
8.95,9.64,8.59,21000
8.92,9.45,8.56,21500
8.86,9.34,8.47,22000
8.81,9.43,8.52,22500
8.75,9.26,8.43,23000
8.7,9.26,8.42,23500
8.66,9.23,8.45,24000
8.59,9.14,8.36,24500
8.68,9.19,8.4,25000
8.63,9.08,8.37,25500
8.57,9.04,8.31,26000
8.65,9.02,8.3,26500
8.55,9.04,8.25,27000
8.53,8.99,8.22,27500
8.42,8.84,8.21,28000
8.41,8.82,8.12,28500
8.38,8.8,8.16,29000
8.44,8.82,8.18,29500
8.44,8.78,8.12,30000
8.39,8.81,8.13,30500
8.34,8.74,8.14,31000
8.39,8.76,8.1,31500
8.23,8.66,8.02,32000
8.19,8.6,8.0,32500
8.33,8.62,8.07,33000
8.33,8.56,8.05,33500
8.33,8.6,8.07,34000
8.27,8.62,8.08,34500
8.24,8.49,8.03,35000
8.2,8.45,7.95,35500
8.12,8.46,7.98,36000
8.11,8.42,7.97,36500
8.25,8.45,8.02,37000
8.27,8.51,8.03,37500
8.13,8.4,7.93,38000
8.23,8.42,7.93,38500
8.1,8.29,7.91,39000
8.11,8.36,7.92,39500
8.15,8.32,7.9,40000
8.01,8.24,7.86,40500
